species,Genotype,species_type,variable,gmin,units,area
Glycine max,Buchanan,cultivated,moderately stressed,0.16,mm s-1,projected
Glycine max,R114,cultivated,moderately stressed,0.19,mm s-1,projected
Glycine max,R129,cultivated,moderately stressed,0.17,mm s-1,projected
Glycine max,R23,cultivated,moderately stressed,0.17,mm s-1,projected
Glycine max,Canapolis,cultivated,moderately stressed,0.14,mm s-1,projected
Glycine max,UFV 72-1,cultivated,moderately stressed,0.16,mm s-1,projected
Glycine max,Valder,cultivated,moderately stressed,0.15,mm s-1,projected
Glycine max,Farrer,cultivated,moderately stressed,0.14,mm s-1,projected
Glycine max,Hill,cultivated,moderately stressed,0.13,mm s-1,projected
Glycine max,Manark,cultivated,moderately stressed,0.16,mm s-1,projected
Glycine max,A5939,cultivated,moderately stressed,0.12,mm s-1,projected
Glycine max,A14-37,cultivated,moderately stressed,0.18,mm s-1,projected
Glycine max,Wills,cultivated,moderately stressed,0.16,mm s-1,projected
Glycine max,NN Clark 63,cultivated,moderately stressed,0.12,mm s-1,projected
Glycine max,IAC-L-131,cultivated,moderately stressed,0.26,mm s-1,projected
Glycine max,Bragg,cultivated,moderately stressed,0.16,mm s-1,projected
Glycine soja,G8,wild,moderately stressed,0.29,mm s-1,projected
Glycine soja,CPI 96905,wild,moderately stressed,0.18,mm s-1,projected
Glycine latifolia,ACC 521,wild,moderately stressed,0.17,mm s-1,projected
Glycine tomentella,ACC 547,wild,moderately stressed,0.28,mm s-1,projected
Glycine canescens,ACC 548,wild,moderately stressed,0.27,mm s-1,projected
Glycine canescens,ACC 590,wild,moderately stressed,0.28,mm s-1,projected
Glycine tabacina,ACC 549,wild,moderately stressed,0.12,mm s-1,projected
Glycine tabacina,ACC 563,wild,moderately stressed,0.22,mm s-1,projected
Glycine clandestina,ACC 554,wild,moderately stressed,0.35,mm s-1,projected
Glycine tabacina,ACC 574,wild,moderately stressed,0.1,mm s-1,projected
Glycine argyrea,ACC 578,wild,moderately stressed,0.15,mm s-1,projected
Glycine max,MCP006,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,Leichhardt,cultivated,near lethal,0.09,mm s-1,projected
Glycine max,NK #1,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,A80017,cultivated,near lethal,0.17,mm s-1,projected
Glycine max,Williams,cultivated,near lethal,0.09,mm s-1,projected
