code,species,population,treatment,transpiration,lma,gmin,area,units
195,hakea sericea,richmond,w,0.999865739,409.6007992,6.871945895,projected,mmol m-2 s-1
203,hakea leucoptera,tibooburra,w,0.500867667,802.328504,6.884795372,projected,mmol m-2 s-1
204,hakea leucoptera,tibooburra,w,0.79361418,660.5409545,6.233606883,projected,mmol m-2 s-1
206,hakea leucoptera,tibooburra,w,0.635998737,715.3365479,6.993817248,projected,mmol m-2 s-1
209,hakea dactyloides,woodford,w,0.054327494,149.2364,2.987085866,projected,mmol m-2 s-1
214,hakea propinqua,blue mountains,w,1.12369475,502.3694589,7.723006424,projected,mmol m-2 s-1
217,hakea salicifolia,angustifolia,w,0.176260994,213.8242484,9.691349301,projected,mmol m-2 s-1
221,hakea prostrata,west,d,0.040531017,138.7244705,2.228514863,projected,mmol m-2 s-1
222,hakea megadenia,Friendly beaches Tasmania,w,0.987724004,697.7899408,9.05132979,projected,mmol m-2 s-1
224,hakea leucoptera,toorale,w,0.50844772,525.781004,6.988988794,projected,mmol m-2 s-1
247,hakea salicifolia,saligna,d,0.068975051,128.268629,3.792451711,projected,mmol m-2 s-1
248,hakea salicifolia,saligna,w,0.152369875,140.2589635,8.377745122,projected,mmol m-2 s-1
251,hakea leucoptera,mildura,d,0.157183095,758.5626243,2.880796718,projected,mmol m-2 s-1
252,hakea leucoptera,mildura,d,0.069370892,476.3272403,1.907108107,projected,mmol m-2 s-1
253,hakea leucoptera,mildura,w,1.016457136,566.5502798,6.985976386,projected,mmol m-2 s-1
255,hakea salicifolia,angustifolia,d,0.036943327,168.3663298,2.031253048,projected,mmol m-2 s-1
256,hakea elliptica,albany,w,0.097556336,130.2689999,4.469945912,projected,mmol m-2 s-1
261,hakea teretifolia,blue mountains,w,0.432326486,520.9093002,7.923528402,projected,mmol m-2 s-1
266,hakea prostrata,west,w,0.125564789,200.2369845,6.903922426,projected,mmol m-2 s-1
