"species","gmin","datasource","citation"
"Phalaris arundinacea",25.7997936,"nazrul-islam1983","Nazrul-Islam (1983)"
"Rumex acetosa",13.92369813,"nazrul-islam1983","Nazrul-Islam (1983)"
"Albizia guachepele",5.33,"newton1996","Newton and Mcbeath (1996)"
"Anthocephalus chinensis",6.15,"newton1996","Newton and Mcbeath (1996)"
"Bischofia javanica",7.79,"newton1996","Newton and Mcbeath (1996)"
"Cordia alliodora",6.56,"newton1996","Newton and Mcbeath (1996)"
"Terminalia brownii",13.12,"newton1996","Newton and Mcbeath (1996)"
"Triplochiton scleroxylon",6.15,"newton1996","Newton and Mcbeath (1996)"
"Acer saccharum",5.163636364,"pallardy1993","Pallardy and Rhoads (1993)"
"Juglans nigra",4.509090909,"pallardy1993","Pallardy and Rhoads (1993)"
"Quercus alba",6.181818182,"pallardy1993","Pallardy and Rhoads (1993)"
"Quercus stellata",8.981818182,"pallardy1993","Pallardy and Rhoads (1993)"
"Acacia koa",3.8,"pasquet-kok2010","Pasquet-Kok Creese, et al. (2010)"
"Eucalyptus cladocalyx",11.046031991,"phillips2010","Phillips Lewis, et al. (2010)"
"Eucalyptus saligna",13.735028143875,"phillips2010","Phillips Lewis, et al. (2010)"
"Eucalyptus sideroxylon",16.8373821618,"phillips2010","Phillips Lewis, et al. (2010)"
"Arctostaphylos uva-ursi",0.582010582,"pisekberger1938","Pisek and Berger (1938)"
"Asarum europaeum",1.111111111,"pisekberger1938","Pisek and Berger (1938)"
"Betula pendula",1.26984127,"pisekberger1938","Pisek and Berger (1938)"
"Caltha palustris",2.91005291,"pisekberger1938","Pisek and Berger (1938)"
"Convolvulus arvensis",1.587301587,"pisekberger1938","Pisek and Berger (1938)"
"Coronilla varia",2.486772487,"pisekberger1938","Pisek and Berger (1938)"
"Corylus avellana",2.010582011,"pisekberger1938","Pisek and Berger (1938)"
"Fagus sylvatica",0.9523809525,"pisekberger1938","Pisek and Berger (1938)"
"Hedera helix",0.164021164,"pisekberger1938","Pisek and Berger (1938)"
"Impatiens noli tangere",3.174603175,"pisekberger1938","Pisek and Berger (1938)"
"Opuntia camanchica",0.024338624,"pisekberger1938","Pisek and Berger (1938)"
"Oxalis acetosella",0.158730159,"pisekberger1938","Pisek and Berger (1938)"
"Oxytropis pilosa",1.375661376,"pisekberger1938","Pisek and Berger (1938)"
"Peucedanum cervaria",1.587301587,"pisekberger1938","Pisek and Berger (1938)"
"Picea excelsa",0.195767196,"pisekberger1938","Pisek and Berger (1938)"
"Pinus sylvestris",0.174603175,"pisekberger1938","Pisek and Berger (1938)"
"Prenanthes purpurea",1.005291005,"pisekberger1938","Pisek and Berger (1938)"
"Pulmonaria officinalis",3.28042328,"pisekberger1938","Pisek and Berger (1938)"
"Quercus robur",1.428571429,"pisekberger1938","Pisek and Berger (1938)"
"Rhododendron ferrugineum",0.793650794,"pisekberger1938","Pisek and Berger (1938)"
"Sedum maximum",2.275132275,"pisekberger1938","Pisek and Berger (1938)"
"Stachys recta",1.693121693,"pisekberger1938","Pisek and Berger (1938)"
"Stellaria nemorum",1.851851852,"pisekberger1938","Pisek and Berger (1938)"
"Veronica beccabunga",4.55026455,"pisekberger1938","Pisek and Berger (1938)"
"Triticum aestivum",12.2222222233333,"rawson1988","Rawson and Clarke (1988)"
"Triticum turgidum var. durum",9.133333333,"rawson1988","Rawson and Clarke (1988)"
"Arachis hypogaea",7.1078,"rosas-anderson2014","Rosas-Anderson Sinclair, et al. (2014)"
"Acer rubrum",4.261512271,"sack2003","Sack Cowan, et al. (2003)"
"Acer saccharum",3.8739679385,"sack2003","Sack Cowan, et al. (2003)"
"Betula papyrifera",5.0783940985,"sack2003","Sack Cowan, et al. (2003)"
"Hedera helix",0.443353667,"sack2003","Sack Cowan, et al. (2003)"
"Quercus rubra",2.279699248,"sack2003","Sack Cowan, et al. (2003)"
"Vitis labrusca",5.6426443465,"sack2003","Sack Cowan, et al. (2003)"
"Oryza glaberrima",16.1833333333333,"Saito2010",""
"Oryza sativa",18.9714285714286,"Saito2010",""
"Oryza sativa x O. glaberrima",20.9,"Saito2010",""
"Geranium sanguineum",4.305,"schuster2016","Schuster (2016)"
"Helianthemum apenninum",8.282,"schuster2016","Schuster (2016)"
"Hippocrepis comosa",5.6744,"schuster2016","Schuster (2016)"
"Plantago lanceolata",7.667,"schuster2016","Schuster (2016)"
"Pulsatilla vulgaris",6.3058,"schuster2016","Schuster (2016)"
"Salvia pratensis",5.9942,"schuster2016","Schuster (2016)"
